epoch,train_loss,val_roc_auc,val_pr_auc,val_log_loss
1,1.0261484058107648,0.7128983495089565,0.4033522240016835,0.6804492508629958
2,0.9975982159750802,0.7198367358724336,0.40712548283947825,0.6424197320620219
3,0.9899253890446255,0.7228984851321933,0.41414778035036737,0.612125785134236
4,0.9805650717054094,0.7254956701187885,0.4186759395484222,0.6204802420884371
5,0.9782196607317243,0.7228401890150428,0.41500362615077,0.5931103107631206
6,0.9758768064498902,0.7253119225075074,0.4192844821861792,0.6208257473260165
7,0.9708682624271938,0.7287453231857987,0.4230980601764917,0.59660499706467
8,0.9689629652295794,0.7301996089675834,0.42578572552690896,0.5801081580887238
9,0.971379859651838,0.7300041036966519,0.42491021177588034,0.6442556471685569
10,0.9635507303919111,0.7291415836594125,0.42464577467838666,0.5768573112338782
11,0.9631054896627154,0.7286216216689183,0.42457376051436335,0.6119022590686878
12,0.9616034808567592,0.7297428102184671,0.42289294693189194,0.6229844469676415
