strategy,n_approved,approval_rate,total_volume,weighted_pd,actual_default_rate,expected_profit,realized_profit,roi_expected_pct,roi_realized_pct,lgd,funding_cost
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,125577536.17535642,108581223.73304814,13.429407077890504,11.611801751631797,0.65,0.02
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,105615795.26514992,89117474.60804814,11.294675398713387,9.53032589040324,0.65,0.035
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,85654054.35494344,69653725.48304814,9.159943719536274,7.448850029174686,0.65,0.05
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,59038399.808001444,43702059.983048126,6.313634813966787,4.6735488808699435,0.65,0.07
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,116226600.21119146,97965302.48304814,12.429407161928612,10.476522844948999,0.75,0.02
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,96264859.30098496,78501553.35804814,10.294675482751497,8.395046983720443,0.75,0.035
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,76303118.39077848,59037804.23304814,8.159943803574384,6.313571122491887,0.75,0.05
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,49687463.84383647,33086138.73304813,5.313634898004895,3.5382699741871457,0.75,0.07
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,111551132.22910897,92657341.85804814,11.929407203947665,9.9088833916076,0.8,0.02
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,91589391.31890248,73193592.73304814,9.79467552477055,7.827407530379044,0.8,0.035
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,71627650.408696,53729843.60804814,7.659943845593436,5.7459316691504885,0.8,0.05
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,45011995.861753985,27778178.108048134,4.813634940023948,2.9706305208457464,0.8,0.07
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,106875664.2470265,87349381.23304814,11.429407245966722,9.3412439382662,0.85,0.02
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,86913923.33682,67885632.10804814,9.294675566789607,7.259768077037644,0.85,0.035
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,66952182.42661351,48421882.98304814,7.159943887612491,5.178292215809089,0.85,0.05
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,40336527.879671514,22470217.48304813,4.313634982043004,2.402991067504347,0.85,0.07
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,102200196.264944,82041420.60804814,10.929407287985773,8.7736044849248,0.9,0.02
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,82238455.3547375,62577671.48304813,8.794675608808658,6.692128623696244,0.9,0.035
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,62276714.44453102,43113922.35804814,6.659943929631544,4.61065276246769,0.9,0.05
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,35661059.89758903,17162256.85804813,3.813635024062058,1.835351614162948,0.9,0.07
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,102078634.09740986,81903413.63179813,10.916407289078268,8.758845859137923,0.9013,0.02
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,82116893.18720338,62439664.50679813,8.781675609901155,6.677369997909369,0.9013,0.035
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,62155152.27699688,42975915.38179813,6.64694393072404,4.595894136680813,0.9013,0.05
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,35539497.73005488,17024249.88179813,3.800635025154552,1.8205929883760712,0.9013,0.07
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,97524728.28286153,76733459.98304814,10.42940733000483,8.205965031583402,0.95,0.02
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,77562987.37265503,57269710.85804814,8.294675650827713,6.124489170354845,0.95,0.035
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,57601246.462448545,37805961.73304814,6.159943971650599,4.043013309126291,0.95,0.05
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,30985591.91550655,11854296.23304813,3.3136350660811122,1.2677121608215487,0.95,0.07
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,92849260.30077903,71425499.35804814,9.929407372023881,7.638325578242003,1.0,0.02
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,72887519.39057255,51961750.23304814,7.794675692846767,5.556849717013447,1.0,0.035
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,52925778.48036606,32498001.108048137,5.659944013669653,3.475373855784891,1.0,0.05
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,26310123.933424056,6546335.60804813,2.813635108100165,0.7000727074801495,1.0,0.07
