budget,pd_cap,status,solve_time,n_approved,approval_rate,total_volume,weighted_pd,realized_default_rate,expected_profit,realized_profit,roi_expected,roi_realized,budget_label
500000000.0,0.15,Optimal,52.45821022987366,34729,20.510745861411166,499996850.0,0.1499998585408835,15.874341328572664,54289395.51734107,42661635.86584239,10.857947508537515,8.532380927168319,$0.5B
500000000.0,0.18,Optimal,50.53786325454712,32654,19.285262903006718,499999250.0,0.1799998231488574,19.063514423960317,63399389.9859112,49942111.61040275,12.679897017027766,9.988437304736507,$0.5B
500000000.0,0.2,Optimal,54.80017876625061,31613,18.670454344115612,499971075.0,0.1999951121949343,21.415240565590103,67539426.29145598,52614789.586341366,13.508666734661798,10.523566705602192,$0.5B
500000000.0,0.22,Optimal,58.60640287399292,30838,18.21274384157901,500000000.0,0.2199990770089916,23.409429924119596,70423726.28399575,55491887.83825933,14.08474525679915,11.098377567651866,$0.5B
500000000.0,0.25,Optimal,50.47241401672363,29785,17.590848152326053,499999475.0,0.2499991009879159,26.60399529964748,72771796.73213148,57207465.57491352,14.554374628519655,11.441505128563088,$0.5B
500000000.0,0.28,Optimal,48.89824199676514,29273,17.288463923553486,499985475.0,0.2668941195879935,28.326444163563693,73156064.89393477,57806648.47928157,14.631638027871665,11.561665562240895,$0.5B
500000000.0,0.3,Optimal,48.026870012283325,29273,17.288463923553486,499988475.0,0.266893702230819,28.326444163563693,73155849.15029028,57805296.52928157,14.631507086296397,11.561325794415875,$0.5B
1000000000.0,0.15,Optimal,46.93656802177429,49476,29.22023848193668,677907450.0,0.1499999850486973,15.747028862478777,58085872.7843927,44196442.156798735,8.5684074993412,6.519539231616164,$1.0B
1000000000.0,0.18,Optimal,51.28023195266724,59746,35.28564088329268,839646675.0,0.1799998992495433,18.479898235865164,73839181.69246769,56350993.748008266,8.794077781879823,6.711274566532198,$1.0B
1000000000.0,0.2,Optimal,47.1861367225647,65022,38.401615865722505,935063625.0,0.1999999796108276,20.25006920734521,82116673.93661544,62441072.377952814,8.781934377632904,6.677735151760696,$1.0B
1000000000.0,0.22,Optimal,46.672101974487305,67657,39.95783157434696,999993600.0,0.2199999878113612,22.006592074729888,87657774.78567499,67985774.73481062,8.76583357990241,6.798620984655364,$1.0B
1000000000.0,0.25,Optimal,49.25592589378357,64368,38.015367261001295,999994000.0,0.2446966576385058,24.51839423315933,89928494.5034472,70288842.72838947,8.992903407765168,7.028926446397625,$1.0B
1000000000.0,0.28,Optimal,49.870906829833984,64366,38.01418607260765,999992400.0,0.244696810175966,24.51915607618929,89928484.94126731,70280238.47716296,8.992916840294718,7.02807726110348,$1.0B
1000000000.0,0.3,Optimal,49.65400004386902,64364,38.013004884214006,999997675.0,0.2446937966479624,24.518364303026534,89928108.86754052,70283481.10668868,8.992831795087977,7.028364451616217,$1.0B
1500000000.0,0.15,Optimal,47.07147693634033,49476,29.22023848193668,677907450.0,0.1499999850486973,15.747028862478777,58085872.7843927,44196442.156798735,8.5684074993412,6.519539231616164,$1.5B
1500000000.0,0.18,Optimal,47.29099082946777,59750,35.28800326007996,839673775.0,0.1799999567456273,18.480334728033476,73839031.56687668,56351782.79697573,8.79377607891549,6.711151934806554,$1.5B
1500000000.0,0.2,Optimal,53.664057970047,65023,38.40220645991933,935063625.0,0.1999998792761563,20.248219860664687,82116853.59148452,62444081.70508336,8.781953590749989,6.678056983029721,$1.5B
1500000000.0,0.22,Optimal,47.29254484176636,68217,40.28856432456694,1006587550.0,0.2199999021699533,21.972528841784307,87661547.34651121,67951895.516553,8.708785176859301,6.750718853670801,$1.5B
1500000000.0,0.25,Optimal,46.88808298110962,67970,40.14268755795206,1044836950.0,0.2446185496911949,24.394585846697076,90055033.8557552,69928954.07430986,8.619051408524095,6.6928102106563,$1.5B
1500000000.0,0.28,Optimal,46.53727412223816,67975,40.14564052893616,1044883350.0,0.2446163080877843,24.392791467451268,90055117.03890315,69934702.98144872,8.618676624419669,6.693063199968563,$1.5B
