strategy,n_approved,approval_rate,total_volume,weighted_pd,actual_default_rate,expected_profit,realized_profit,roi_expected_pct,roi_realized_pct,issue_month,n_loans_in_month,cumulative_realized_profit
Approve All,10063,100.0,150077350.0,0.26512388404591436,21.345523203815958,2383132.9515553955,4142342.6151003577,1.5879364551382307,2.7601384320154625,2017-12-01,10063,64405335.164521866
BIP Optimal,6222,37.95059469350412,92874825.0,0.19563927910922307,19.65605914496946,8430009.034666024,7272250.042615868,9.076742846800546,7.830162848345468,2017-01-01,16395,7272250.042615868
BIP Optimal,5086,37.763587763587765,76590075.0,0.19646215171358894,20.52693668895006,6816828.059695318,5268872.924412226,8.900406560112806,6.87931553065097,2017-02-01,13468,12541122.967028094
BIP Optimal,6520,38.32814061489624,96511525.0,0.19225045076642866,19.92331288343558,8090154.869719904,5578861.328158742,8.38257904402599,5.780513081892283,2017-03-01,17011,18119984.295186836
BIP Optimal,5017,38.28601953601954,71981025.0,0.1960227326153913,20.709587402830376,6078543.423125232,4257293.273051352,8.444646937335543,5.914466031917929,2017-04-01,13104,22377277.568238188
BIP Optimal,6081,37.646257661115584,88716350.0,0.198756725715635,20.046045058378557,7531317.671502562,5436262.915012273,8.489210468535465,6.127690008676273,2017-05-01,16153,27813540.48325046
BIP Optimal,5773,37.893009517558255,82670325.0,0.20426773390714542,21.098215832322882,7558820.21961473,5887825.050327897,9.143329507431753,7.122053832893359,2017-06-01,15235,33701365.53357836
BIP Optimal,5742,38.384918777993185,79875150.0,0.20825442924934556,20.81156391501219,7612344.217825976,5836470.358596092,9.53030350218557,7.306991421732658,2017-07-01,14959,39537835.89217445
BIP Optimal,5938,38.336884240428695,82879525.0,0.1975930506586211,20.208824520040416,7253304.260854546,5656618.836792015,8.751623830921504,6.825110106256056,2017-08-01,15489,45194454.72896647
BIP Optimal,5123,38.21423243323885,74247950.0,0.218716088571508,22.1745071247316,7600241.265170692,5488850.085392869,10.236297790269887,7.392594792708579,2017-09-01,13406,50683304.81435934
BIP Optimal,4839,40.57521381854771,67607825.0,0.2051501418551603,20.851415581731764,6020524.70694908,3957069.379599197,8.905070836029823,5.852975420521511,2017-10-01,11926,54640374.19395853
BIP Optimal,4766,39.349405548216644,66600425.0,0.1928841617596378,18.778850188837602,5207662.278375437,4308692.47355221,7.819262832595192,6.469466934411019,2017-11-01,12112,58949066.66751074
