split,rows,bad_rate,roc_auc,pr_auc,log_loss,brier_score,threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
validation_2016,7500,0.20426666736602783,0.7301996089675834,0.42578572552690896,0.5801081580887238,0.19875049250471494,0.5,0.6908,0.35289719626168226,0.6161879895561357,0.4487758497741859,4237,1731,588,944
test_2017,7500,0.20426666736602783,0.7139955305581027,0.3945602136679526,0.5961288269052902,0.20590073634603115,0.5,0.6737333333333333,0.33596271064897815,0.6116187989556136,0.4336959037259894,4116,1852,595,937
