strategy,n_approved,approval_rate,total_volume,avg_pd,actual_default_rate,expected_profit,realized_profit,roi_expected_pct,roi_realized_pct
A. Approve All,169321,100.0,2421502475.0,0.2536311602183612,23.13298409529828,72961377.5873282,64405335.16452186,3.013062276028778,2.6597261753582084
B. PD Threshold (<0.30),121036,71.48315920647764,1535167825.0,0.17214874251860718,16.930500016524007,40003476.71999065,31313440.19224481,2.6058047901043424,2.0397405210238047
C. BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,82116893.18720335,62439664.50679813,8.781675609901152,6.677369997909369
