sweet_spot,budget,pd_cap,n_approved,approval_rate,realized_default_rate,realized_profit,roi_realized
Highest realized ROI,500000000.0,0.28,29273,17.288463923553486,28.326444163563693,57806648.47928157,11.561665562240895
Highest total realized profit,1000000000.0,0.25,64368,38.015367261001295,24.51839423315933,70288842.72838947,7.028926446397625
Best profit subject to default rate <= 18%,1000000000.0,0.15,49476,29.22023848193668,15.747028862478777,44196442.156798735,6.519539231616164
